	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	5	2	4
1	presentare la domanda	5	3	4
2	spiegare il motivo	5	2	3
3	consultare la sezione	3	2	3
4	consultare l'elenco	5	3	4
5	presentare l'istanza	3	2	3
6	presentare il progetto	5	3	4
7	spiegare la parola	4	3	4
8	spiegare la situazione	5	3	4
9	consultare l'appendice	5	3	4
10	presentare la denuncia	4	4	4
11	presentare il programma	5	3	4
12	consultare l'esperto	5	3	4
13	presentare il problema	5	3	4
14	spiegare la ragione	4	3	4
15	consultare la tabella	5	4	5
16	spiegare il significato	5	3	4
17	spiegare il concetto	5	3	4
