	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	5	3	5
1	avere il tavolo	5	2	5
2	cambiare la scrivania	4	2	3
3	comprare la scrivania	5	2	5
4	avere la sedia	5	1	5
5	dare la sedia	5	1	5
6	cambiare la sedia	4	2	5
7	cambiare il tavolo	4	2	5
8	dare il divano	3	1	4
9	comprare il divano	4	3	4
10	avere la scrivania	5	3	5
11	comprare l'armadio	4	3	4
12	dare la scrivania	3	1	2
13	dare l'armadio	2	1	2
14	cambiare l'armadio	4	2	3
15	comprare la sedia	5	3	5
16	avere il divano	5	2	5
17	dare il tavolo	3	1	2
18	cambiare il divano	4	2	4
19	avere l'armadio	5	2	5
