	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	ristrutturare l'ospedale	1	4	3
1	sostenere la caserma	1	4	2
2	valutare la proposta	4	2	5
3	aiutare il collegio	3	2	5
4	istituire l'ufficio	2	1	3
5	visitare la brigata	1	4	2
6	distruggere il monumento	1	5	5
7	costruire l'edificio	2	5	5
8	edificare il socialismo	1	2	4
9	aiutare il cliente	1	4	5
10	istituire il mercato	2	3	4
11	ristrutturare il collegio	3	5	5
12	valutare la condizione	4	3	5
13	distruggere il duomo	1	5	3
14	costruire il duomo	1	5	4
15	sospendere il mercato	2	1	1
16	sospendere il processo	3	1	3
17	edificare la casa	1	5	5
18	distruggere l'esercito	1	4	3
19	sospendere lo sciopero	3	3	5
20	sostenere lo sforzo	4	2	4
21	visitare l'edificio	2	4	5
22	mantenere la squadra	1	3	5
23	valutare l'ipotesi	5	2	5
24	mantenere il castello	1	3	1
25	mantenere l'edificio	1	3	3
26	ristrutturare la scuola	2	5	5
27	istituire la commissione	3	3	4
28	distruggere il reggimento	1	5	2
29	distruggere la brigata	1	5	1
30	distruggere la squadra	1	4	4
31	ristrutturare l'azienda	2	2	4
32	sostenere il contrario	4	1	5
33	costruire il condominio	1	5	5
34	aiutare l'ufficio	2	2	4
35	costruire il reggimento	1	3	3
36	sospendere la seduta	4	1	4
37	ristrutturare il mercato	2	2	2
38	ristrutturare lo albergo	2	5	5
39	visitare la palazzina	1	4	5
40	demolire la casa	1	5	5
41	sostenere l'ospedale	1	2	3
42	aiutare la crescita	2	2	4
43	valutare la chiesa	2	2	2
44	sospendere lo albergo	1	3	1
45	demolire la torre	1	2	5
46	sostenere il mercato	1	1	2
47	aiutare il processo	3	1	4
48	valutare la situazione	5	1	5
49	edificare il collegio	2	4	2
50	valutare l'efficacia	4	2	3
51	edificare lo albergo	1	5	4
52	istituire la scuola	3	3	2
53	aiutare lo albergo	1	2	1
54	costruire il partito	1	2	1
55	costruire l'esercito	1	3	2
56	visitare la famiglia	4	2	5
57	aiutare la caserma	1	2	1
58	costruire il monumento	1	5	4
59	mantenere il comitato	2	3	1
60	visitare l'esercito	1	4	2
61	demolire il muro	1	5	5
62	sostenere l'esame	5	4	5
63	demolire la scuola	2	5	5
64	sostenere l'ufficio	1	3	2
65	distruggere il condominio	1	5	5
66	sospendere l'ufficio	1	2	1
67	visitare il comitato	1	5	2
68	sospendere l'ospedale	2	2	2
69	visitare il castello	4	4	4
70	istituire il servizio	2	3	2
71	distruggere la famiglia	3	2	4
72	demolire il collegio	2	4	4
73	edificare l'ospedale	2	5	4
74	edificare la scuola	2	5	4
