	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	1	1	1
1	valutare il premio	1	1	2
2	ristrutturare il sistema	1	3	1
3	edificare l'appartamento	1	4	3
4	demolire l'appartamento	1	5	3
5	sostenere il programma	1	1	2
6	edificare la biblioteca	1	3	1
7	istituire il corso	1	1	2
8	istituire la proposta	1	1	2
9	demolire l'economia	1	1	1
10	valutare il programma	1	2	2
11	valutare il progetto	1	2	2
12	sospendere il progetto	1	2	3
13	sostenere il servizio	2	3	2
14	valutare il corso	4	2	3
15	valutare la proposta	4	2	3
16	sospendere il sistema	1	1	1
17	istituire il premio	1	2	2
18	edificare il sistema	1	1	1
19	sospendere il programma	1	2	2
20	sostenere il sistema	1	2	3
21	edificare il museo	1	5	5
22	edificare l'economia	1	1	1
23	istituire l'economia	1	1	1
24	sostenere la proposta	3	2	3
25	sospendere la proposta	1	1	1
26	demolire il sistema	1	1	1
27	valutare l'economia	1	3	1
28	demolire la biblioteca	2	5	5
29	ristrutturare il museo	2	5	5
30	istituire il programma	2	3	4
31	sostenere l'economia	2	2	3
32	demolire il museo	2	5	5
33	ristrutturare la biblioteca	2	5	5
34	sospendere il corso	3	3	4
35	istituire il progetto	1	1	1
36	sospendere l'economia	1	1	1
37	valutare il servizio	3	1	4
