	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'aqua	1	5	4
1	aprire la scatola	3	5	5
2	raccogliere la frutta	1	5	4
3	raccogliere il grano	1	5	3
4	aprire il cassetto	5	5	5
5	regalare l'anello	2	4	4
6	regalare il biglietto	4	4	5
7	regalare la bottiglia	4	4	5
8	raccogliere il fiore	2	5	5
9	aprire la bottega	1	5	3
10	aprire il pacco	4	4	4
11	raccogliere la legna	1	4	4
12	regalare il fiore	3	4	5
13	aprire la busta	4	4	5
14	aprire il frigo	5	5	5
15	regalare la gioiello	2	3	4
16	aprire il portone	4	5	5
17	aprire la porta	5	5	5
18	regalare la foto	4	4	5
19	aprire il coperchio	2	3	3
20	regalare la collana	1	4	4
21	aprire la finestra	5	5	5
22	raccogliere l'erba	1	4	3
23	raccogliere la moneta	2	4	3
24	raccogliere la palla	1	4	3
25	aprire il portello	2	4	2
