	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	ristrutturare l'ospedale	1	5	4
1	sostenere la caserma	1	1	1
2	valutare la proposta	5	1	5
3	aiutare il collegio	1	3	3
4	istituire l'ufficio	1	3	3
5	visitare la brigata	1	3	3
6	distruggere il monumento	1	5	5
7	costruire l'edificio	2	5	5
8	edificare il socialismo	1	1	1
9	aiutare il cliente	5	4	5
10	istituire il mercato	1	3	1
11	ristrutturare il collegio	3	5	5
12	valutare la condizione	5	1	5
13	distruggere il duomo	1	5	2
14	costruire il duomo	1	5	2
15	sospendere il mercato	1	1	1
16	sospendere il processo	1	1	1
17	edificare la casa	3	5	5
18	distruggere l'esercito	1	3	3
19	sospendere lo sciopero	3	3	5
20	sostenere lo sforzo	5	3	5
21	visitare l'edificio	5	5	5
22	mantenere la squadra	3	3	3
23	valutare l'ipotesi	5	1	5
24	mantenere il castello	3	3	3
25	mantenere l'edificio	3	3	3
26	ristrutturare la scuola	2	5	5
27	istituire la commissione	3	3	3
28	distruggere il reggimento	1	5	5
29	distruggere la brigata	1	5	5
30	distruggere la squadra	1	5	5
31	ristrutturare l'azienda	3	5	5
32	sostenere il contrario	5	1	5
33	costruire il condominio	3	1	3
34	aiutare l'ufficio	3	1	3
35	costruire il reggimento	1	1	1
36	sospendere la seduta	3	3	3
37	ristrutturare il mercato	1	3	3
38	ristrutturare lo albergo	2	5	5
39	visitare la palazzina	5	5	5
40	demolire la casa	1	5	5
41	sostenere l'ospedale	5	1	5
42	aiutare la crescita	3	1	5
43	valutare la chiesa	3	1	2
44	sospendere lo albergo	1	2	2
45	demolire la torre	1	5	5
46	sostenere il mercato	1	1	1
47	aiutare il processo	1	1	1
48	valutare la situazione	5	1	5
49	edificare il collegio	1	3	3
50	valutare l'efficacia	5	1	5
51	edificare lo albergo	1	5	4
52	istituire la scuola	1	4	3
53	aiutare lo albergo	1	1	1
54	costruire il partito	1	1	3
55	costruire l'esercito	1	3	1
56	visitare la famiglia	5	4	5
57	aiutare la caserma	1	1	1
58	costruire il monumento	1	5	1
59	mantenere il comitato	1	1	1
60	visitare l'esercito	1	1	1
61	demolire il muro	3	5	5
62	sostenere l'esame	5	5	5
63	demolire la scuola	5	5	5
64	sostenere l'ufficio	1	1	1
