	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	2	3	4
1	avere il tavolo	5	4	5
2	cambiare la scrivania	2	3	4
3	comprare la scrivania	3	4	4
4	avere la sedia	5	4	5
5	dare la sedia	3	2	3
6	cambiare la sedia	3	2	3
7	cambiare il tavolo	3	2	3
8	dare il divano	1	2	1
9	comprare il divano	2	3	3
10	avere la scrivania	5	4	5
11	comprare l'armadio	2	3	4
12	dare la scrivania	1	1	2
13	dare l'armadio	1	1	2
14	cambiare l'armadio	2	2	3
15	comprare la sedia	2	3	4
16	avere il divano	5	3	5
17	dare il tavolo	2	2	3
18	cambiare il divano	2	2	3
19	avere l'armadio	5	3	5
