	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	5	4	5
1	presentare la domanda	5	3	5
2	spiegare il motivo	5	2	5
3	consultare la sezione	5	4	4
4	consultare l'elenco	5	4	5
5	presentare l'istanza	5	3	4
6	presentare il progetto	5	3	5
7	spiegare la parola	5	1	5
8	spiegare la situazione	5	2	5
9	consultare l'appendice	5	3	4
10	presentare la denuncia	5	3	5
11	presentare il programma	5	3	5
12	consultare l'esperto	5	3	5
13	presentare il problema	5	4	5
14	spiegare la ragione	5	1	5
15	consultare la tabella	5	4	5
16	spiegare il significato	5	1	5
17	spiegare il concetto	5	1	5
