	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	5	2	2
1	presentare la domanda	5	2	3
2	spiegare il motivo	5	3	3
3	consultare la sezione	4	3	1
4	consultare l'elenco	5	3	2
5	presentare l'istanza	4	2	2
6	presentare il progetto	4	3	3
7	spiegare la parola	5	3	2
8	spiegare la situazione	5	3	2
9	consultare l'appendice	5	3	1
10	presentare la denuncia	3	4	4
11	presentare il programma	4	2	2
12	consultare l'esperto	5	2	2
13	presentare il problema	5	3	2
14	spiegare la ragione	5	2	2
15	consultare la tabella	5	3	1
16	spiegare il significato	5	3	3
17	spiegare il concetto	5	3	3
