	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	catalogo bagnato	2	3	4
1	catalogo consumato	5	5	5
2	catalogo informatica	3	3	3
3	catalogo scientifico	5	5	5
4	catalogo stampato	5	5	5
5	catalogo tecnico	2	2	2
6	diario bagnato	2	2	4
7	diario consumato	5	5	5
8	diario informatico	2	2	2
9	diario scientifico	2	2	2
10	diario stampato	2	2	2
11	diario tecnico	3	3	3
12	disegno bagnato	4	2	4
13	disegno consumato	2	2	2
14	disegno informatico	1	1	1
15	disegno scientifico	4	4	4
16	disegno stampato	5	5	5
17	disegno tecnico	5	5	5
18	libro bagnato	3	3	3
19	libro consumato	5	5	5
20	libro informatico	2	2	2
21	libro scientifico	5	5	5
22	libro stampato	5	5	5
23	libro tecnico	5	5	5
24	rivista bagnata	4	4	4
25	rivista consumata	5	5	5
26	rivista informatica	5	5	5
27	rivista scientifica	5	5	5
28	rivista stampata	5	5	5
29	rivista tecnica	5	5	5
