	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	5	3	5
1	presentare la domanda	1	1	2
2	spiegare il motivo	5	2	3
3	consultare la sezione	1	1	1
4	consultare l'elenco	3	3	4
5	presentare l'istanza	3	3	2
6	presentare il progetto	3	4	5
7	spiegare la parola	4	3	5
8	spiegare la situazione	5	4	4
9	consultare l'appendice	4	4	4
10	presentare la denuncia	1	3	3
11	presentare il programma	3	3	3
12	consultare l'esperto	5	4	5
13	presentare il problema	5	4	5
14	spiegare la ragione	5	3	3
15	consultare la tabella	5	4	5
16	spiegare il significato	5	1	2
17	spiegare il concetto	5	1	2
