	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	consultare l'articolo	3	3	5
1	presentare la domanda	4	3	5
2	spiegare il motivo	5	3	4
3	consultare la sezione	2	2	4
4	consultare l'elenco	4	3	5
5	presentare l'istanza	2	3	4
6	presentare il progetto	5	4	5
7	spiegare la parola	5	3	4
8	spiegare la situazione	5	3	4
9	consultare l'appendice	5	3	5
10	presentare la denuncia	5	4	5
11	presentare il programma	5	4	5
12	consultare l'esperto	5	2	4
13	presentare il problema	5	3	4
14	spiegare la ragione	5	3	4
15	consultare la tabella	5	4	5
16	spiegare il significato	5	3	4
17	spiegare il concetto	5	3	4
