	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	2	5	5
1	vendere il tavolo	2	5	5
2	riparare la scrivania	3	5	5
3	comprare la scrivania	4	5	5
4	vendere il frigo	2	5	5
5	vendere la sedia	2	5	5
6	pulire la sedia	2	5	5
7	riparare la sedia	4	5	5
8	riparare il frigo	1	5	3
9	riparare il tavolo	3	5	4
10	pulire il divano	3	5	5
11	comprare il divano	2	5	5
12	vendere la scrivania	2	5	5
13	comprare l'armadio	2	5	5
14	pulire la scrivania	5	5	5
15	pulire l'armadio	3	5	5
16	riparare l'armadio	2	5	5
17	comprare la sedia	3	5	5
18	vendere il divano	2	5	5
19	pulire il tavolo	5	5	5
20	comprare il frigo	1	5	5
21	riparare il divano	2	5	5
22	pulire il frigo	3	5	5
23	vendere l'armadio	2	5	5
