	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	3	3	4
1	avere il tavolo	4	1	1
2	cambiare la scrivania	3	2	2
3	comprare la scrivania	3	3	4
4	avere la sedia	3	1	2
5	dare la sedia	3	3	4
6	cambiare la sedia	3	3	3
7	cambiare il tavolo	3	2	3
8	dare il divano	2	4	4
9	comprare il divano	2	4	4
10	avere la scrivania	4	1	2
11	comprare l'armadio	3	4	4
12	dare la scrivania	2	2	3
13	dare l'armadio	2	3	3
14	cambiare l'armadio	3	2	3
15	comprare la sedia	3	4	4
16	avere il divano	4	1	1
17	dare il tavolo	2	3	3
18	cambiare il divano	3	2	2
19	avere l'armadio	4	2	2
