	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	chiudere il libro	5	4	3
1	sfogliare il catalogo	4	4	3
2	presentare il libro	2	2	2
3	regalare il diario	1	3	4
4	sfogliare il libro	4	4	3
5	aprire la rivista	3	4	2
6	consultare la rivista	3	4	2
7	regalare il catalogo	1	3	4
8	regalare il libro	2	3	4
9	comprare il libro	4	5	3
10	raccogliere il catalogo	3	4	2
11	comprare il disegno	3	4	2
12	raccogliere il disegno	3	4	3
13	comprare il catalogo	3	4	3
14	raccogliere il libro	3	3	3
15	regalare la rivista	2	2	4
16	raccogliere la rivista	3	3	2
17	consultare il catalogo	3	3	2
18	presentare il catalogo	2	3	3
19	presentare il disegno	2	3	3
20	consultare il libro	4	3	2
21	aprire il catalogo	3	4	1
22	chiudere il catalogo	3	4	1
23	spiegare il disegno	2	3	4
24	presentare il diario	2	3	4
25	chiudere la rivista	4	4	2
26	spiegare il libro	5	3	3
27	regalare il disegno	2	3	4
28	comprare il diario	3	4	3
29	sfogliare il diario	3	4	2
30	aprire il diario	2	5	2
31	chiudere il diario	2	5	2
32	sfogliare la rivista	4	3	2
33	raccogliere il diario	3	4	3
34	presentare la rivista	2	3	4
35	comprare la rivista	3	3	2
36	aprire il libro	5	4	2
