	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	4	2	5
1	portare l'abito	5	5	5
2	avere la gomma	5	4	5
3	portare il libro	5	5	5
4	annullare l'intervento	3	2	3
5	preparare il concerto	2	2	2
6	dare il righello	5	4	5
7	confezionare il cibo	5	5	5
8	preparare la mostra	4	2	2
9	annullare il corso	4	2	2
10	portare il pacchtto	4	3	3
11	pagare il concerto	4	3	4
12	portare il fiore	2	2	2
13	portare il piatto	5	4	5
14	confezionare il piatto	2	2	1
15	confezionare la verdura	4	2	3
16	dare la matita	5	4	4
17	annullare il servizio	3	2	3
18	portare la verdura	5	4	5
19	avere la penna	5	5	5
20	prenotare la mostra	5	3	3
21	annullare la spedizione	5	3	3
22	avere la matita	5	4	5
23	portare la camicia	5	5	5
24	confezionare il fiore	3	2	2
25	prenotare il servizio	5	2	3
26	cambiare la penna	5	4	4
27	prenotare l'iscrizione	5	3	4
28	prenotare la spedizione	5	3	3
29	avere il righello	5	5	5
30	prenotare l'incontro	5	3	4
31	dare la gomma	5	4	5
32	annullare l'incontro	5	2	3
33	prenotare l'intervento	5	3	3
34	portare il legno	4	3	5
35	prenotare il concerto	5	3	3
36	annullare l'appuntamento	5	3	3
37	confezionare il libro	4	2	4
38	annullare l'iscrizione	5	3	3
39	annullare la mostra	3	3	3
40	confezionare il carne	3	2	4
41	portare il carne	3	1	2
42	organizzare il concerto	3	2	3
43	prenotare l'appuntamento	5	3	3
44	portare il cibo	5	4	5
45	pagare la mostra	5	4	3
46	annullare il concerto	5	3	4
47	organizzare la mostra	5	3	2
48	cambiare la matita	5	4	5
49	dare la penna	5	4	5
50	prenotare il corso	5	3	4
