	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	valutare il sistema	4	5	5
1	valutare il premio	4	5	5
2	ristrutturare il sistema	4	5	5
3	edificare l'appartamento	4	5	5
4	demolire l'appartamento	4	5	5
5	edificare la biblioteca	4	5	5
6	istituire il corso	4	5	5
7	istituire la proposta	4	5	5
8	demolire l'economia	4	3	3
9	valutare il programma	4	5	5
10	valutare il progetto	4	5	5
11	sospendere il progetto	4	5	5
12	valutare il corso	5	5	5
13	valutare la proposta	5	5	5
14	sospendere il sistema	4	5	4
15	istituire il premio	4	5	5
16	edificare il sistema	4	5	5
17	sospendere il programma	4	5	5
18	edificare il museo	4	5	5
19	edificare l'economia	4	2	2
20	istituire l'economia	4	3	5
21	sospendere la proposta	5	5	5
22	demolire il sistema	4	3	5
23	valutare l'economia	5	5	5
24	demolire la biblioteca	5	5	5
25	ristrutturare il museo	5	5	5
26	istituire il programma	5	5	5
27	demolire il museo	4	5	5
28	ristrutturare la biblioteca	5	5	5
29	sospendere il corso	5	5	5
30	istituire il progetto	5	5	5
31	sospendere l'economia	3	2	4
32	valutare il servizio	3	5	5
