	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	armadio antico	3	5	4
1	sedia antica	3	5	4
2	armadio nuovo	5	5	5
3	notizia vecchio	4	2	2
4	armadio moderno	5	5	5
5	sedia moderna	5	5	5
6	divano moderno	5	5	5
7	tavolo antico	4	5	4
8	idea vecchia	4	1	2
9	notizia nuova	4	1	2
10	poesia semplice	2	2	3
11	armadio semplice	4	4	4
12	favola nuova	1	1	2
13	poesia antica	2	2	2
14	poesia moderna	2	2	2
15	idea semplice	3	2	2
16	divano vecchio	3	5	5
17	storia nuova	3	2	2
18	notizia semplice	4	2	2
19	storia moderna	3	2	2
20	favola antica	3	3	2
21	poesia nuova	2	2	2
22	sedia nuova	5	5	5
23	storia vecchia	3	2	2
24	tavolo vecchio	3	5	4
25	sedia semplice	4	5	5
26	tavolo semplice	5	5	5
27	scrivania moderna	5	5	5
28	scrivania vecchia	4	5	4
29	sedia vecchia	4	5	4
30	storia antica	2	2	2
31	favola semplice	2	2	2
32	divano nuovo	5	5	5
33	scrivania antica	3	4	4
34	favola vecchia	3	2	2
35	idea nuova	3	2	3
36	armadio vecchio	4	5	5
37	tavolo nuovo	5	5	5
38	divano antico	4	5	5
39	storia semplice	2	2	2
40	scrivania nuova	5	5	5
41	favola moderna	2	2	2
42	scrivania semplice	5	5	5
43	tavolo moderno	4	5	4
44	divano semplice	5	5	5
