	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	5	5	3
1	avere il tavolo	5	5	5
2	cambiare la scrivania	5	5	3
3	comprare la scrivania	5	5	3
4	avere la sedia	5	5	5
5	dare la sedia	5	4	5
6	cambiare la sedia	5	4	5
7	cambiare il tavolo	5	5	4
8	dare il divano	5	5	3
9	comprare il divano	5	5	4
10	avere la scrivania	5	5	5
11	comprare l'armadio	5	5	3
12	dare la scrivania	5	5	3
13	dare l'armadio	5	5	2
14	cambiare l'armadio	5	5	3
15	comprare la sedia	5	5	3
16	avere il divano	5	5	5
17	dare il tavolo	5	5	2
18	cambiare il divano	5	5	3
19	avere l'armadio	5	5	5
