	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	ristrutturare l'ospedale	5	3	3
1	sostenere la caserma	3	3	3
2	valutare la proposta	5	1	1
3	aiutare il collegio	5	34	3
4	istituire l'ufficio	4	3	1
5	visitare la brigata	5	4	4
6	distruggere il monumento	5	5	5
7	costruire l'edificio	5	5	5
8	edificare il socialismo	5	1	1
9	aiutare il cliente	5	4	4
10	istituire il mercato	3	1	1
11	ristrutturare il collegio	5	1	1
12	valutare la condizione	5	3	3
13	distruggere il duomo	5	4	4
14	costruire il duomo	5	4	4
15	sospendere il mercato	4	1	1
16	sospendere il processo	5	1	2
17	edificare la casa	5	5	5
18	distruggere l'esercito	4	5	4
19	sospendere lo sciopero	5	1	2
20	sostenere lo sforzo	5	3	3
21	visitare l'edificio	5	4	4
22	mantenere la squadra	5	1	2
23	valutare l'ipotesi	5	1	2
24	mantenere il castello	5	1	1
25	mantenere l'edificio	5	1	1
26	ristrutturare la scuola	5	3	3
27	istituire la commissione	5	1	3
28	distruggere il reggimento	3	3	4
29	distruggere la brigata	3	3	3
30	distruggere la squadra	3	3	3
31	ristrutturare l'azienda	5	3	3
32	sostenere il contrario	5	1	1
33	costruire il condominio	5	5	5
34	aiutare l'ufficio	5	3	3
35	costruire il reggimento	4	1	1
36	sospendere la seduta	5	4	4
37	ristrutturare il mercato	3	1	1
38	ristrutturare lo albergo	5	5	5
39	visitare la palazzina	4	3	3
40	demolire la casa	5	5	5
41	sostenere l'ospedale	5	2	2
42	aiutare la crescita	3	1	1
43	valutare la chiesa	5	2	3
44	sospendere lo albergo	1	1	1
45	demolire la torre	5	5	5
46	sostenere il mercato	5	1	1
47	aiutare il processo	5	1	1
48	valutare la situazione	5	3	3
49	edificare il collegio	5	1	1
50	valutare l'efficacia	5	2	3
51	edificare lo albergo	5	5	4
52	istituire la scuola	5	1	1
53	aiutare lo albergo	4	1	1
54	costruire il partito	4	1	1
55	costruire l'esercito	3	1	1
56	visitare la famiglia	5	4	5
57	aiutare la caserma	3	1	1
58	costruire il monumento	5	5	5
59	mantenere il comitato	5	1	1
60	visitare l'esercito	5	4	4
61	demolire il muro	5	5	5
62	sostenere l'esame	5	3	3
63	demolire la scuola	5	3	3
64	sostenere l'ufficio	5	2	2
65	distruggere il condominio	5	5	5
66	sospendere l'ufficio	1	1	1
67	visitare il comitato	5	4	4
68	sospendere l'ospedale	1	1	1
69	visitare il castello	5	5	5
70	istituire il servizio	5	1	1
71	distruggere la famiglia	5	1	1
72	demolire il collegio	4	1	1
73	edificare l'ospedale	5	3	3
74	edificare la scuola	5	3	3
75	valutare l'impatto	5	1	1
76	edificare il mercato	3	1	1
77	mantenere la famiglia	5	4	4
78	sostenere la scuola	5	2	2
79	costruire il castello	5	5	5
80	distruggere il palazzo	5	5	5
81	costruire la palazzina	5	5	5
82	distruggere il comitato	1	1	1
83	valutare il rischio	5	2	2
84	mantenere il monumento	4	1	1
85	sospendere la scuola	4	2	2
86	istituire il consiglio	5	1	2
87	sospendere la partita	5	3	3
88	mantenere il duomo	3	1	1
89	costruire la squadra	5	3	3
90	ristrutturare l'appartamento	5	5	5
91	valutare il caso	5	2	3
92	visitare il reggimento	5	4	4
93	istituire lo albergo	3	1	1
94	ristrutturare la chiesa	5	3	3
95	sostenere il collegio	5	3	3
96	ristrutturare la casa	5	5	5
97	visitare il duomo	5	5	5
98	demolire l'ufficio	5	4	4
99	valutare la scuola	5	1	4
