	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	portare il pacco	5	5	5
1	portare l'abito	5	5	5
2	offrire il viaggio	3	2	3
3	portare il libro	5	5	5
4	annullare l'intervento	2	2	2
5	preparare il concerto	2	4	3
6	confezionare il cibo	5	5	5
7	preparare la mostra	2	4	2
8	annullare il corso	2	3	2
9	portare il pacchetto	5	5	5
10	pagare il concerto	2	4	4
11	portare il fiore	4	5	5
12	portare il piatto	5	5	5
13	confezionare il piatto	5	5	5
14	confezionare la verdura	5	5	5
15	annullare il servizio	2	2	3
16	portare la verdura	3	5	5
17	offrire la festa	3	3	3
18	prenotare la mostra	3	2	3
19	annullare la spedizione	2	2	2
20	offrire la gita	2	2	2
21	portare la camicia	5	5	5
22	confezionare il fiore	3	5	5
23	prenotare il servizio	3	3	3
24	offrire la mostra	2	2	2
25	prenotare l'iscrizione	3	3	4
26	prenotare la spedizione	1	3	2
27	offrire il convegno	1	2	2
28	prenotare l'incontro	2	3	3
29	annullare l'incontro	2	2	3
30	prenotare l'intervento	1	2	1
31	portare il legno	3	5	5
32	prenotare il concerto	3	2	3
33	annullare l'appuntamento	3	2	3
34	confezionare il libro	5	5	5
35	annullare l'iscrizione	3	3	4
36	annullare la mostra	2	2	2
37	confezionare il carne	4	5	5
38	portare il carne	5	5	5
39	organizzare il concerto	1	2	2
40	prenotare l'appuntamento	3	3	4
41	portare il cibo	5	5	5
42	pagare la mostra	4	4	4
43	annullare il concerto	1	2	2
44	organizzare la mostra	1	3	2
45	offrire la vista	2	2	3
46	offrire il concerto	1	2	2
47	prenotare il corso	4	3	4
