	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	chiudere il libro	4	4	5
1	sfogliare il catalogo	3	4	4
2	presentare il libro	2	4	3
3	regalare il diario	1	2	3
4	sfogliare il libro	4	4	5
5	aprire la rivista	3	4	4
6	consultare la rivista	2	2	1
7	regalare il catalogo	2	3	2
8	regalare il libro	4	3	4
9	comprare il libro	4	5	5
10	raccogliere il catalogo	3	4	4
11	comprare il disegno	1	2	2
12	raccogliere il disegno	3	4	3
13	comprare il catalogo	3	4	3
14	raccogliere il libro	3	4	4
15	regalare la rivista	2	3	4
16	raccogliere la rivista	3	4	3
17	consultare il catalogo	4	3	4
18	presentare il catalogo	2	3	3
19	presentare il disegno	3	4	4
20	consultare il libro	3	4	4
21	aprire il catalogo	2	4	3
22	chiudere il catalogo	2	4	3
23	spiegare il disegno	2	3	3
24	presentare il diario	3	4	4
25	chiudere la rivista	3	4	4
26	spiegare il libro	3	4	3
27	regalare il disegno	2	3	4
28	comprare il diario	3	4	4
29	sfogliare il diario	3	4	4
30	aprire il diario	3	4	3
31	chiudere il diario	3	4	3
32	sfogliare la rivista	3	4	2
33	raccogliere il diario	2	3	3
34	presentare la rivista	2	3	3
35	comprare la rivista	3	4	3
36	aprire il libro	4	5	5
