	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	comprare il tavolo	4	2	3
1	vendere il tavolo	4	2	3
2	riparare la scrivania	4	4	4
3	comprare la scrivania	4	2	3
4	vendere il frigo	4	2	3
5	vendere la sedia	4	2	3
6	pulire la sedia	4	4	4
7	riparare la sedia	4	4	4
8	riparare il frigo	4	4	4
9	riparare il tavolo	4	4	4
10	pulire il divano	4	4	4
11	comprare il divano	4	2	3
12	vendere la scrivania	4	2	3
13	comprare l'armadio	4	2	3
14	pulire la scrivania	4	4	4
15	pulire l'armadio	4	4	4
16	riparare l'armadio	4	4	4
17	comprare la sedia	4	2	3
18	vendere il divano	4	2	3
19	pulire il tavolo	4	4	4
20	comprare il frigo	4	2	2
21	riparare il divano	4	3	2
22	pulire il frigo	4	4	4
23	vendere l'armadio	4	2	3
