	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	ristrutturare l'ospedale	4	3	2
1	sostenere la caserma	2	1	1
2	valutare la proposta	5	1	2
3	aiutare il collegio	3	2	1
4	istituire l'ufficio	1	1	1
5	visitare la brigata	1	1	1
6	distruggere il monumento	5	5	5
7	costruire l'edificio	5	5	5
8	edificare il socialismo	2	1	2
9	aiutare il cliente	5	4	4
10	istituire il mercato	5	3	2
11	ristrutturare il collegio	5	5	5
12	valutare la condizione	5	2	4
13	distruggere il duomo	4	5	5
14	costruire il duomo	5	5	5
15	sospendere il mercato	3	2	4
16	sospendere il processo	4	3	2
17	edificare la casa	5	4	4
18	distruggere l'esercito	2	5	4
19	sospendere lo sciopero	5	3	4
20	sostenere lo sforzo	5	4	3
21	visitare l'edificio	5	5	4
22	mantenere la squadra	5	2	2
23	valutare l'ipotesi	5	2	3
24	mantenere il castello	3	2	2
25	mantenere l'edificio	5	3	2
26	ristrutturare la scuola	5	5	4
27	istituire la commissione	5	4	3
28	distruggere il reggimento	3	4	2
29	distruggere la brigata	3	4	2
30	distruggere la squadra	4	4	4
31	ristrutturare l'azienda	4	4	3
32	sostenere il contrario	5	3	4
33	costruire il condominio	5	5	4
34	aiutare l'ufficio	2	3	2
35	costruire il reggimento	3	4	3
36	sospendere la seduta	5	4	4
37	ristrutturare il mercato	4	3	3
38	ristrutturare lo albergo	5	5	5
39	visitare la palazzina	3	4	4
40	demolire la casa	5	5	5
41	sostenere l'ospedale	4	3	3
42	aiutare la crescita	5	1	2
43	valutare la chiesa	2	1	3
44	sospendere lo albergo	1	1	1
45	demolire la torre	4	5	5
46	sostenere il mercato	5	3	2
47	aiutare il processo	4	3	3
48	valutare la situazione	5	3	2
49	edificare il collegio	3	3	2
50	valutare l'efficacia	5	1	3
51	edificare lo albergo	4	4	2
52	istituire la scuola	3	3	3
53	aiutare lo albergo	2	2	2
54	costruire il partito	4	2	4
55	costruire l'esercito	3	3	4
56	visitare la famiglia	4	3	3
57	aiutare la caserma	3	2	3
58	costruire il monumento	4	4	5
59	mantenere il comitato	5	2	2
60	visitare l'esercito	2	3	4
61	demolire il muro	5	5	5
62	sostenere l'esame	5	4	5
63	demolire la scuola	5	5	5
64	sostenere l'ufficio	2	3	4
65	distruggere il condominio	4	5	5
66	sospendere l'ufficio	3	3	2
67	visitare il comitato	2	3	3
68	sospendere l'ospedale	2	4	3
69	visitare il castello	5	5	5
70	istituire il servizio	3	2	3
71	distruggere la famiglia	4	2	4
72	demolire il collegio	5	5	5
73	edificare l'ospedale	4	4	3
74	edificare la scuola	4	4	3
75	valutare l'impatto	5	3	4
76	edificare il mercato	3	2	3
77	mantenere la famiglia	5	4	5
78	sostenere la scuola	4	3	3
79	costruire il castello	4	5	5
80	distruggere il palazzo	4	5	5
81	costruire la palazzina	5	5	5
82	distruggere il comitato	3	3	4
83	valutare il rischio	5	3	5
84	mantenere il monumento	4	2	3
85	sospendere la scuola	4	3	4
86	istituire il consiglio	3	2	3
87	sospendere la partita	5	4	5
88	mantenere il duomo	4	3	3
89	costruire la squadra	4	3	4
90	ristrutturare l'appartamento	5	5	4
91	valutare il caso	5	3	5
92	visitare il reggimento	3	3	3
93	istituire lo albergo	3	2	2
94	ristrutturare la chiesa	5	5	4
95	sostenere il collegio	4	3	3
96	ristrutturare la casa	4	5	5
97	visitare il duomo	5	4	5
98	demolire l'ufficio	4	5	5
99	valutare la scuola	4	3	4
100	mantenere il partito	3	3	3
101	istituire il tribunale	3	2	3
102	sospendere il servizio	4	3	5
103	visitare il monumento	4	5	5
104	distruggere il castello	4	5	5
105	edificare il muro	4	4	3
106	demolire la caserma	4	5	5
107	visitare la squadra	3	3	3
