	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	sentire la storia	5	2	5
1	inventare la favola	5	3	4
2	inventare la storia	5	4	5
3	disporre il giudizio	2	4	2
4	narrare la storia	5	4	4
5	sentire l'idea	5	3	4
6	raccontare la favola	5	4	5
7	ritenere il giudizio	2	2	2
8	raccontare la storia	5	3	4
9	esprimere il giudizio	5	3	4
10	sentire il giudizio	5	3	1
11	narrare la favola	5	3	5
12	sentire la poesia	5	3	5
13	seguire la storia	5	4	5
14	ricevere la notizia	5	3	5
15	sentire la favola	5	3	5
16	seguire l'idea	4	3	3
17	sentire la notizia	5	3	5
